S.N.,Contract No,Stock Symbol,Buyer Broker,Seller Broker,Quantity,Rate,Amount
1,2021021001022445,MEGA,34,20,40,302,12080.00
2,2021021003021039,DDBL,32,42,10,2191,21910.00
3,2021021003021038,DDBL,58,42,20,2195,43900.00
4,2021021004013645,STC,22,32,10,8211,82110.00
5,2021021003021037,KSBBL,34,19,200,325,65000.00
6,2021021001022444,NMB,14,28,50,444,22200.00
7,2021021001022443,NBL,6,8,164,391,64124.00
8,2021021003021036,GMFBS,52,40,50,1779,88950.00
9,2021021004013644,NIL,48,49,20,1570,31400.00
10,2021021003021035,MERO,34,58,20,1110,22200.00
11,2021021001022442,GBIME,11,45,20,449,8980.00
12,2021021004013643,AHPC,59,36,188,281,52828.00
13,2021021004013642,AHPC,51,36,200,281,56200.00
14,2021021004013641,AHPC,58,36,612,281,171972.00
15,2021021003021034,NFS,34,55,136,314,42704.00
16,2021021003021033,NFS,34,56,110,314,34540.00
17,2021021004013640,IGI,53,45,100,1117,111700.00
18,2021021004013639,NIL,42,49,242,1570,379940.00
19,2021021004013638,SGI,58,7,10,719,7190.00
20,2021021003021032,NRIC,38,28,68,1568,106624.00
S.N.,Contract No,Stock Symbol,Buyer Broker,Seller Broker,Quantity,Rate,Amount
1,2021021001022445,MEGA,34,20,40,302,12080.00
2,2021021003021039,DDBL,32,42,10,2191,21910.00
3,2021021003021038,DDBL,58,42,20,2195,43900.00
4,2021021004013645,STC,22,32,10,8211,82110.00
5,2021021003021037,KSBBL,34,19,200,325,65000.00
6,2021021001022444,NMB,14,28,50,444,22200.00
7,2021021001022443,NBL,6,8,164,391,64124.00
8,2021021003021036,GMFBS,52,40,50,1779,88950.00
9,2021021004013644,NIL,48,49,20,1570,31400.00
10,2021021003021035,MERO,34,58,20,1110,22200.00
11,2021021001022442,GBIME,11,45,20,449,8980.00
12,2021021004013643,AHPC,59,36,188,281,52828.00
13,2021021004013642,AHPC,51,36,200,281,56200.00
14,2021021004013641,AHPC,58,36,612,281,171972.00
15,2021021003021034,NFS,34,55,136,314,42704.00
16,2021021003021033,NFS,34,56,110,314,34540.00
17,2021021004013640,IGI,53,45,100,1117,111700.00
18,2021021004013639,NIL,42,49,242,1570,379940.00
19,2021021004013638,SGI,58,7,10,719,7190.00
20,2021021003021032,NRIC,38,28,68,1568,106624.00
S.N.,Contract No,Stock Symbol,Buyer Broker,Seller Broker,Quantity,Rate,Amount
1,2021021001022445,MEGA,34,20,40,302,12080.00
2,2021021003021039,DDBL,32,42,10,2191,21910.00
3,2021021003021038,DDBL,58,42,20,2195,43900.00
4,2021021004013645,STC,22,32,10,8211,82110.00
5,2021021003021037,KSBBL,34,19,200,325,65000.00
6,2021021001022444,NMB,14,28,50,444,22200.00
7,2021021001022443,NBL,6,8,164,391,64124.00
8,2021021003021036,GMFBS,52,40,50,1779,88950.00
9,2021021004013644,NIL,48,49,20,1570,31400.00
10,2021021003021035,MERO,34,58,20,1110,22200.00
11,2021021001022442,GBIME,11,45,20,449,8980.00
12,2021021004013643,AHPC,59,36,188,281,52828.00
13,2021021004013642,AHPC,51,36,200,281,56200.00
14,2021021004013641,AHPC,58,36,612,281,171972.00
15,2021021003021034,NFS,34,55,136,314,42704.00
16,2021021003021033,NFS,34,56,110,314,34540.00
17,2021021004013640,IGI,53,45,100,1117,111700.00
18,2021021004013639,NIL,42,49,242,1570,379940.00
19,2021021004013638,SGI,58,7,10,719,7190.00
20,2021021003021032,NRIC,38,28,68,1568,106624.00
S.N.,Contract No,Stock Symbol,Buyer Broker,Seller Broker,Quantity,Rate,Amount
1,2021021001022445,MEGA,34,20,40,302,12080.00
2,2021021003021039,DDBL,32,42,10,2191,21910.00
3,2021021003021038,DDBL,58,42,20,2195,43900.00
4,2021021004013645,STC,22,32,10,8211,82110.00
5,2021021003021037,KSBBL,34,19,200,325,65000.00
6,2021021001022444,NMB,14,28,50,444,22200.00
7,2021021001022443,NBL,6,8,164,391,64124.00
8,2021021003021036,GMFBS,52,40,50,1779,88950.00
9,2021021004013644,NIL,48,49,20,1570,31400.00
10,2021021003021035,MERO,34,58,20,1110,22200.00
11,2021021001022442,GBIME,11,45,20,449,8980.00
12,2021021004013643,AHPC,59,36,188,281,52828.00
13,2021021004013642,AHPC,51,36,200,281,56200.00
14,2021021004013641,AHPC,58,36,612,281,171972.00
15,2021021003021034,NFS,34,55,136,314,42704.00
16,2021021003021033,NFS,34,56,110,314,34540.00
17,2021021004013640,IGI,53,45,100,1117,111700.00
18,2021021004013639,NIL,42,49,242,1570,379940.00
19,2021021004013638,SGI,58,7,10,719,7190.00
20,2021021003021032,NRIC,38,28,68,1568,106624.00
